=== Cenário B ===
gen	avg	max	min	std
0	328.6463	7154.1890	0.0000	964.5724
1	657.7407	7928.1251	0.0000	1409.7649
2	1080.2937	8820.5794	0.0000	1792.3601
3	1931.2536	11715.5783	0.0054	2431.6813
4	2648.4372	15918.6742	0.0023	3302.3532
5	3776.8026	22783.2021	0.0007	4204.4645
6	5450.1808	22783.2021	0.0002	4540.4991
7	6735.1881	22783.2021	0.0034	5352.6057
8	7455.7925	22783.2021	0.0004	6298.9562
9	8281.4201	39066.0721	0.2492	7923.4491
10	10868.5161	39066.0721	0.0036	9225.1300
11	14423.4368	40107.8329	0.0017	10383.2686
12	15567.7845	40894.6834	0.0000	12537.2356
13	18337.1578	40894.6834	0.0010	13984.6792
14	22360.2685	40894.6834	0.0013	15742.1846
15	27102.8668	40894.6834	0.0010	15871.9079
16	33163.0189	66345.8174	0.0042	14600.5574
17	36707.2033	134279.6501	0.0015	15131.0799
18	38634.1863	134279.6501	0.0007	21884.5967
19	48316.6274	134279.6501	0.6430	31033.5934
20	68729.4772	192624.4277	0.0001	42009.7142
21	90538.8319	192624.4277	0.1053	48443.9357
22	105922.3551	212357.1511	0.0000	52886.7068
23	127755.9432	424262.9685	0.0001	52351.2029
24	138623.0289	424262.9685	0.0000	65952.8466
25	158146.5698	424262.9685	0.3759	81469.9465
26	187797.0717	424262.9685	0.1135	93667.0850
27	203154.8703	424262.9685	0.0005	132417.1543
28	263045.1910	425281.8875	0.0190	157738.8869
29	325410.6887	425281.8875	1.4079	161394.9369
30	358818.6791	425281.8875	0.2268	150082.7501
31	354058.5035	425281.8875	0.0212	153293.0251
32	377064.8387	689708.5110	2.7178	137788.0498
33	367636.8927	689708.5110	0.0006	164691.4378
34	374181.9995	1002017.3357	0.0759	202494.0767
35	470024.1931	1002017.3357	2.4763	191573.7013
36	533730.6096	1003806.6640	0.0438	222631.8548
37	597626.9792	1003806.6640	0.0030	237333.5918
38	654483.3063	1003806.6640	0.0010	248625.5579
39	715538.2911	1003806.6640	0.9228	302373.4448
40	834317.6842	1003806.6640	0.0051	314097.5369
41	846706.7249	1003806.6640	0.0015	351386.6554
42	863245.6069	1003806.6640	1.8213	340229.3975
43	889876.3662	1004399.4758	0.0007	305609.9810
44	895536.7359	1004399.4758	0.6871	308148.0298
45	868710.4052	1015579.4533	0.1700	334525.0141
46	843330.0994	1022402.0329	2.0330	362715.1454
47	852939.0401	1022402.0329	0.0021	349932.8672
48	867993.3224	1022402.0329	0.0285	341559.6165
49	869566.1373	1157436.1974	0.7039	348890.9193
50	863252.3438	1157436.1974	0.2804	362409.4575
51	881429.6949	1157436.1974	0.1746	351968.4999
52	874269.4812	1157436.1974	0.0036	380826.9074
53	926850.5248	1157436.1974	0.0021	377634.5649
54	975004.3142	1173190.6432	0.0643	385859.7095
55	981493.6114	1173190.6432	0.0146	405455.4233
56	973692.5013	1185048.7977	0.0080	415187.8416
57	997207.5196	1231183.3466	0.0003	394525.1508
58	984700.0056	1231183.3466	0.0313	417579.9741
59	994563.8929	1231183.3466	0.0019	411945.0592
60	1051131.4580	1231183.3466	0.0001	357371.9167
61	954765.1971	1231183.3466	2.2525	465975.1930
62	965234.7894	1231183.3466	0.1564	470352.1724
63	1064415.1792	1231183.3466	0.0018	402847.5555
64	1099969.3081	1231183.3466	0.0548	371595.6243
65	1047063.0209	1231183.3466	0.1206	429090.0535
66	1029431.5432	1231183.3466	0.2695	444175.6695
67	1012715.7083	1231183.3466	0.0181	459920.8989
68	1029819.3798	1231183.3466	0.8798	446262.9553
69	1033731.6944	1231183.3466	0.0294	444968.2241
70	1065966.6084	1231183.3466	0.0036	412664.4988
71	1110600.6927	1338508.3266	0.0011	360560.0920
72	1075750.1952	1338508.3266	0.0226	407539.1235
73	1110928.5648	1338508.3266	0.0040	373193.8897
74	1073674.6627	1338508.3266	0.4511	440282.2458
75	1143630.0491	1338508.3266	0.7268	408381.5757
76	1186457.7910	1338508.3266	0.3097	393410.0842
77	1111398.7331	1338508.3266	0.0077	492926.4338
78	1147842.2942	1338508.3266	0.1732	455618.2534
79	1185707.6998	1338508.3266	0.5613	415272.5909
80	1181840.7442	1338508.3266	0.0002	425192.3982
81	1190892.0723	1338508.3266	0.0117	410744.8343
82	1181683.6268	1368344.3876	0.0001	425253.7195
83	1096660.8554	1368344.3876	0.2818	509994.1343
84	1153752.9527	1368344.3876	0.0001	457143.7342
85	1141291.4359	1372143.0648	0.0138	476178.9858
86	1157682.0705	1605374.9141	0.0173	474627.9895
87	1145726.6135	1605374.9141	0.2009	508439.0827
88	1131520.2108	1605374.9141	0.0982	543742.4379
89	1212057.6636	1605374.9141	0.0038	542587.5683
90	1285609.5692	1605374.9141	0.0439	554711.2837
91	1343407.7527	1605374.9141	0.0023	560164.6936
92	1346394.3988	1605374.9141	0.3680	577030.2393
93	1404376.8301	1605374.9141	0.0002	524562.5838
94	1368063.0842	1605374.9141	0.0652	562813.9075
95	1370176.3238	1605374.9141	1.4625	553401.5328
96	1355594.4885	1605374.9141	0.3428	573398.5203
97	1415539.1762	1605374.9141	0.0219	514608.7092
98	1348816.2311	1605374.9141	0.0213	570923.7547
99	1346131.1009	1605374.9141	0.0980	576131.8692
100	1329471.3503	1605374.9141	0.0220	594827.9486
101	1358110.5574	1605374.9141	0.0008	569212.0108
102	1419089.0944	1605374.9141	6.0863	502267.3878
103	1348806.2764	1605374.9141	0.0062	579942.6007
104	1356523.5515	1605374.9141	0.0006	567855.5832
105	1359545.0713	1605374.9141	0.1142	572438.3534
106	1447294.4488	1605374.9141	2.5455	464397.6300
107	1313450.1207	1605374.9141	0.2605	607249.1694
108	1322906.9006	1605374.9141	0.0164	603296.5176
109	1257494.2648	1605374.9141	0.0429	647524.0704
110	1354081.8221	1605374.9141	0.3000	567513.7544
111	1346876.8696	1633168.2066	0.0323	573314.2149
112	1337688.1795	1633168.2066	0.0392	593084.6016
113	1347740.8368	1633168.2066	2.8373	581912.2957
114	1345450.1603	1633168.2066	0.3041	577534.5672
115	1393135.2912	1633168.2066	0.0000	539992.0251
116	1406386.5786	1633168.2066	0.2495	546187.9606
117	1450945.5367	1633168.2066	0.0017	502674.1244
118	1436859.2094	1633168.2066	0.0243	525205.3171
119	1390391.5897	1633168.2066	0.3869	566620.7246
120	1397932.1827	1633168.2066	0.2705	562617.8009
