=== Cenário B ===
gen	avg	max	min	std
0	9167.3495	332179.8815	0.0000	30089.5980
1	22323.7347	687640.6187	0.0000	74251.1489
2	39540.7688	687640.6187	0.0000	101841.6835
3	51269.7959	687640.6187	0.0000	121271.6930
4	70266.2615	848094.4240	0.0000	154901.0639
5	117667.4205	869668.7115	0.0000	222957.0169
6	138171.8839	869668.7115	0.0000	243044.9607
7	178793.2609	1195945.9752	0.0000	289713.9999
8	232536.9721	1195945.9752	0.0000	335807.8442
9	345308.9494	1195945.9752	0.0000	382737.8406
10	386993.7079	1195945.9752	0.0000	400035.3104
11	504428.2319	1195945.9752	0.0000	409317.0543
12	570549.4019	1195945.9752	0.0000	433375.3812
13	491717.9987	1195945.9752	0.0000	477581.9308
14	519086.2311	1195945.9752	0.0000	503249.7105
15	623523.3150	1195945.9752	0.0000	544808.8015
16	777538.5423	1522517.8402	0.0000	537164.5992
17	928795.8433	1522517.8402	0.0000	493257.3567
18	1054087.4449	1522517.8402	0.0000	441605.2428
19	1157656.5267	1522517.8402	0.0000	456624.6507
20	1171290.7432	1522517.8402	0.0000	572248.2767
21	1232289.1703	1522517.8402	0.0000	582118.1262
22	1279918.1785	1708062.1673	0.0000	543394.5412
23	1324375.8997	1708062.1673	0.0000	506301.4957
24	1300937.0072	1708062.1673	0.0000	546438.0331
25	1337781.5297	2031221.2546	0.0000	569686.7872
26	1376534.2521	2031221.2546	0.0000	621848.7818
27	1445402.5521	2600567.1899	0.0000	690745.2844
28	1549779.4096	2600567.1899	0.0000	749040.5821
29	1677600.9208	2600567.1899	0.0000	767492.9541
30	1857781.7002	2600567.1899	0.0000	722512.8236
31	1945245.9903	2600567.1899	0.0000	817032.0342
32	2082375.7814	2752492.5548	0.0000	888978.3016
33	2263954.5108	2752492.5548	0.0000	838874.7255
34	2275582.9181	2752492.5548	0.0000	849968.2669
35	2269509.4152	2752492.5548	0.0000	895301.6335
36	2291267.1370	3127167.4540	0.0000	937638.8329
37	2395017.2585	3127167.4540	0.0000	914791.9968
38	2413472.5731	3127167.4540	0.0000	970982.9822
39	2433568.5201	3127167.4540	0.0000	1077164.3959
40	2434775.0867	3127167.4540	0.0000	1176511.0910
41	2716896.3205	3127167.4540	0.0000	1000249.2988
42	2725832.5833	3127167.4540	0.0000	1023379.0425
43	2804522.4819	3541025.8393	0.0000	937053.9059
44	2515565.2058	3541025.8393	0.0000	1232320.4965
45	2684110.2179	3541025.8393	0.0000	1143222.6970
46	2685877.8595	3541025.8393	0.0000	1224194.7877
47	2805074.8882	3541025.8393	0.0000	1240449.6365
48	2972793.7906	3541025.8393	0.0000	1229043.9810
49	3126249.0868	3541025.8393	0.0000	1115668.3405
50	3073490.7915	3541025.8393	0.0000	1178224.9573
51	3070124.8236	3541992.8736	0.0000	1193407.0772
52	2920842.5762	3541992.8736	0.0000	1333375.1216
53	3041509.9710	3541992.8736	0.0000	1217155.7481
54	3073524.4905	3541992.8736	0.0000	1185382.9174
55	3013451.4754	3541992.8736	0.0000	1249724.4249
56	3050505.8792	3702230.7405	0.0000	1204729.8331
57	2988767.5908	3702230.7405	0.0000	1270974.5357
58	2913733.8037	3703782.1490	0.0000	1338120.6692
59	3010283.4471	3703782.1490	0.0000	1267272.5853
60	3142535.6598	3703782.1490	0.0000	1172035.8658
61	3058489.6870	3703782.1490	0.0000	1329068.0577
62	3046069.0549	3703782.1490	0.0000	1385293.7374
63	3028204.7585	3703782.1490	0.0000	1403328.1794
64	3146590.2514	3703782.1490	0.0000	1304143.8991
65	3121585.1787	3703782.1490	0.0000	1336284.6842
66	3021265.2117	3703782.1490	0.0000	1432729.7305
67	3253029.8885	3703782.1490	0.0000	1196368.8717
68	3117955.8013	3731750.3981	0.0000	1335349.7299
69	3023391.8680	3731750.3981	0.0000	1409955.7808
70	3072751.8541	3731750.3981	0.0000	1362436.3374
71	3121163.6439	3821058.3442	0.0000	1306774.2936
72	3144120.7769	3824243.8721	0.0000	1318429.9614
73	3032974.1750	3869945.5314	0.0000	1439395.3512
74	3332199.6087	3869945.5314	0.0000	1152626.5349
75	3168430.8813	4391851.5216	0.0000	1375592.5010
76	3224031.9719	4391851.5216	0.0000	1409857.8169
77	3272738.5293	4391851.5216	0.0000	1503917.0549
78	3447752.5323	4391851.5216	0.0000	1527660.6402
79	3571536.6926	4422426.3354	0.0000	1581456.8141
80	3708353.9689	4422426.3354	0.0000	1538214.9552
81	3747163.5325	4422426.3354	0.0000	1522850.8385
82	3754335.5643	4422426.3354	0.0000	1534431.0757
83	3842636.6771	4422426.3354	0.0000	1468116.7540
84	3658537.7803	4422426.3354	0.0000	1654413.3276
85	3680304.8535	4529166.7337	0.0000	1630201.5057
86	3601322.4809	4639695.2225	0.0000	1689445.0609
87	3886172.9314	4639695.2225	0.0000	1436953.8547
88	3748146.7910	4639695.2225	0.0000	1601354.5739
89	3865630.3617	4639695.2225	0.0000	1543491.1225
90	3974817.2997	4639695.2225	0.0000	1501702.7562
91	3921784.1688	4646313.5266	0.0000	1627121.2173
92	4068779.1743	4646313.5266	0.0000	1485046.2435
93	3980956.3559	4646313.5266	0.0000	1575060.7421
94	4027152.7239	5047320.6854	0.0000	1547351.8518
95	4055197.8466	5047320.6854	0.0000	1548486.5947
96	3843416.0140	5159861.4987	0.0000	1776273.2631
97	4101990.0068	5159861.4987	0.0000	1621709.5301
98	4269919.2190	5159861.4987	0.0000	1600009.7953
99	4246659.2020	5159861.4987	0.0000	1798012.0958
100	4302400.0077	5159861.4987	0.0000	1829252.8730
101	4486986.8210	5159861.4987	0.0000	1695796.1100
102	4541430.9408	5159861.4987	0.0000	1640591.7131
103	4418751.4203	5159861.4987	0.0000	1796358.1333
104	4420203.6389	5159861.4987	0.0000	1765887.8316
105	4440418.3980	5159861.4987	0.0000	1747011.1590
106	4369458.2809	5159861.4987	0.0000	1829000.2217
107	4366026.8396	5159861.4987	0.0000	1839193.2646
108	4466983.2344	5215699.2020	0.0000	1754935.8555
