=== Epoch 1 ===
gen	avg	max	min	std
29	482699620.6987	615814428.0979	3638954.0582	236214157.4711
30	441122210.4034	615814428.0979	15945290.0969	257215605.6092
31	393606158.3523	615814428.0979	5579872.9613	270919989.9777
32	441240774.4652	615814428.0979	4658983.1876	255596087.2092
33	515835585.4723	615814428.0979	8452048.9905	214370866.0472
34	521508134.6728	615814428.0979	5030199.5103	214177779.5304
35	453839698.0253	615814428.0979	6151417.3598	252256330.2290
36	494656420.8539	846404320.9234	3217558.8358	231967071.5479
37	505914264.3944	846404320.9234	5585978.4245	247195362.2309
38	536385466.8499	846404320.9234	3749351.9633	279811715.9620
39	573431912.0001	846404320.9234	5652291.5698	303759622.0332
40	721882608.1599	846404320.9234	6614379.2857	237702235.2142
41	783265919.3269	846404320.9234	5745290.8290	198409820.9919
42	695116257.5623	846404320.9234	20634992.9125	304119511.6821
43	675500324.0900	846404320.9234	5949545.6566	322955900.0560
44	720063323.7802	846404320.9234	6743419.9840	290341031.4189
45	573139942.5258	846404320.9234	4427134.4274	372001840.5001
46	601508592.3615	846404320.9234	4209687.8294	360505177.9681
47	657715349.3263	846404320.9234	12976078.0923	337510782.7145
48	725854439.7670	846404320.9234	18055349.3413	279878188.0217
49	672038516.8651	846404320.9234	7608132.6724	329952231.0432
=== Epoch 1 ===
gen	avg	max	min	std
0	24241132.9578	86903008.3299	3670309.9927	18059607.9262
1	39402691.1823	73437764.2981	9352641.0355	17932917.6735
2	48698994.8193	73437764.2981	9919904.6580	17324655.9427
3	55886377.8362	104168770.2391	3522020.3011	19129321.7855
4	59589307.5657	122497820.8634	9976633.3511	25421698.1902
5	76578585.7679	122497820.8634	8661805.6390	22099149.5824
6	85852190.1102	141028012.6209	16401369.7277	25792312.1258
7	97922089.3259	141028012.6209	6790503.0561	29993095.0312
8	106356055.6723	141028012.6209	7178914.1767	35213612.6406
9	103344687.9787	141028012.6209	5601474.1751	42736277.3111
10	114813478.7428	141028012.6209	15058664.3482	34621502.1292
11	123862210.7203	141028012.6209	6307461.8922	34427175.1683
12	118955162.8357	247130343.1973	10441597.0391	44311022.6166
13	129133038.2360	141028012.6209	3810959.5792	31582129.6393
14	120346681.9843	141028012.6209	8217828.8534	39568010.5018
15	123736655.9915	141028012.6209	9603680.4553	36676201.2917
16	120282159.6363	196919097.0438	13292261.7073	41144117.8858
17	120787080.3410	196919097.0438	6016343.6822	46226490.8263
18	123765175.8881	196919097.0438	6548182.8197	39352142.2939
19	133205041.0920	196919097.0438	6652299.9182	44346749.2751
20	143644568.7259	210014382.4885	6209186.9258	49526404.5339
21	167373968.1857	220020083.5965	13129213.5406	42540038.5072
22	175185601.9832	264814136.3629	5971277.6882	62024765.7840
23	171529440.5274	290351304.3389	5341577.3516	74318262.1089
24	175906551.6687	290351304.3389	8542896.5323	71821578.6927
25	191337299.8355	595004928.4626	9250340.4214	96339990.6409
26	228634064.4746	595004928.4626	14848629.7447	82477239.2702
27	216961759.6609	595004928.4626	7615122.6932	127104373.4354
28	274663919.5602	595004928.4626	9379286.4461	163288742.6785
29	367666850.8986	601150070.4388	5489260.1718	179958582.8732
30	435874381.9052	601150070.4388	7084528.8557	217791181.5395
31	457886322.8174	1067438767.7942	11005775.7476	261865556.0861
32	467258965.5092	1067438767.7942	4291074.0975	293352193.1316
33	515773325.1025	1067438767.7942	7761997.2688	264563897.5157
34	707366540.4198	1067438767.7942	109672248.5843	227987309.0230
35	648328053.8318	1067438767.7942	18729078.1863	372039664.8930
36	668370701.5742	1067438767.7942	30084002.3585	374266836.5831
37	741474877.5188	1067438767.7942	4273307.1173	411291418.5955
38	792241801.0683	1067438767.7942	9674665.3197	408897824.1635
39	869644340.8311	1067438767.7942	23500043.1005	374650676.4591
40	902432012.5543	1067438767.7942	11170675.5905	378118075.1210
41	790650327.4419	1067438767.7942	4274534.8663	446931332.5528
42	815663805.6241	1067438767.7942	6307940.1300	433119901.4559
43	824389454.3008	1067438767.7942	5666363.4599	433445189.8805
44	799184775.8445	1067438767.7942	6501030.5201	432736356.8689
45	851576414.5331	1067438767.7942	6016330.1233	388521946.4743
46	817393433.1173	1067438767.7942	7210066.3632	434030833.8424
47	820447277.1971	1067438767.7942	5846512.0720	420043563.9406
48	789491280.8433	1067438767.7942	4278011.0689	447710870.2730
49	869285458.2436	1067438767.7942	6301382.3244	397313765.2374
