=== Cenário B ===
gen	avg	max	min	std
0	381.5982	5492.9430	0.0000	1113.5467
1	781.3704	7112.5014	0.0003	1607.0985
2	2288.2997	14663.8399	0.0006	2655.4965
3	3737.4989	14663.8399	0.0009	3228.1364
4	5737.1942	14663.8399	0.0002	3971.5930
5	8028.6750	16821.5759	0.0000	4602.1296
6	11215.4341	17862.9852	0.0082	4616.2010
7	12735.0973	20994.5964	0.0000	5119.1130
8	14611.6279	21183.6739	0.1260	5082.5810
9	15806.1151	21183.6739	0.0003	6238.3772
10	17904.3121	35228.6244	0.0345	6313.0338
11	17829.7495	37101.0901	0.0005	7760.5638
12	19979.8223	37101.0901	0.0128	8049.3991
13	23817.9338	37101.0901	0.0494	9829.3170
14	30077.0523	40610.4447	0.0003	10246.8009
15	32595.9709	40630.7738	0.0408	11324.9741
16	33258.0371	40630.7738	0.0002	11535.1662
17	32034.5355	40630.7738	0.0042	13349.6833
18	35689.1109	40630.7738	0.0008	10138.6123
19	36485.7503	40630.7738	0.0782	11050.6984
20	37341.7399	40814.2514	0.0015	10370.2486
21	37024.2161	40814.2514	0.2777	11385.6788
22	35892.2753	40814.2514	106.6944	11816.5892
23	35071.1702	40947.6896	0.3080	13093.0167
24	35899.5091	41356.4591	0.0125	12412.8104
25	35094.5003	41356.4591	0.2640	13172.6826
26	35077.7815	41356.4591	0.6172	12817.2203
27	37112.7506	52747.8810	20.9618	10552.9956
28	36790.6254	52747.8810	0.0002	12313.4528
29	36847.7390	52747.8810	0.0000	12623.5274
30	39117.0307	52747.8810	18.7062	11344.4801
31	37846.4648	52747.8810	0.0433	15450.5943
32	44183.7236	55906.6472	0.0149	13959.7819
33	44332.5696	55906.6472	2.1340	17913.3586
34	43942.9015	55906.6472	0.0014	18522.1651
35	46838.0978	55906.6472	0.0026	16771.9299
36	48149.9150	55906.6472	0.0001	17003.8888
37	50707.1398	55906.6472	0.0978	15323.1180
38	49824.9973	56446.4740	0.0375	16839.1500
39	48828.3971	58021.6580	0.0004	17147.9203
40	53130.2722	58021.6580	0.0071	10704.1938
41	50129.2101	60925.2636	0.0002	17397.9613
42	49677.3567	60925.2636	0.0016	18882.0472
43	50353.0834	61000.3196	0.0041	19101.9788
44	54616.2858	70436.3885	0.0136	15032.2742
45	53855.0053	73058.6280	0.0467	18712.7033
46	56070.4228	73058.6280	0.0029	19275.8496
47	58437.6653	73058.6280	0.4303	19583.2184
48	62213.6757	73058.6280	0.0006	21209.5220
49	68719.7025	74822.5292	0.0863	15607.9011
50	65301.9524	74822.5292	0.0033	21597.8200
51	65461.0348	74822.5292	0.0039	21900.6454
52	64441.6251	74822.5292	0.0112	23673.9071
53	67194.0599	74822.5292	0.0022	21584.1115
54	66749.8025	74822.5292	0.0038	20934.9889
55	64225.4610	74822.5292	0.2430	24596.1945
56	63371.9383	74822.5292	0.0002	25250.7542
57	67684.7767	74822.5292	0.0017	20363.0325
58	68313.8085	75199.0825	0.0082	19463.1207
59	67205.2480	75199.0825	0.0020	20990.3693
60	65028.1549	75199.0825	0.0002	23415.0262
61	63373.5760	75199.0825	0.0004	25256.4005
62	66775.2147	75199.0825	0.0032	21800.1638
63	67783.2141	76134.8764	0.0019	20786.2890
64	68288.6127	76134.8764	0.0109	20101.9376
65	66374.9536	76134.8764	0.0147	23719.9693
66	65095.2084	76134.8764	0.0044	24375.1828
67	72671.4131	77062.7458	0.0097	13845.7317
68	69304.1582	77062.7458	0.0049	20069.6116
69	64295.8653	77062.7458	0.0008	26743.0783
70	70116.0696	77387.4336	0.0109	19973.2637
71	70602.1293	77615.8042	0.2734	19744.8294
72	67035.9817	77615.8042	0.0131	23844.9608
73	69145.8741	79062.2031	9.9128	21829.0201
74	66175.4024	79062.2031	0.0010	25381.0162
75	67180.4946	79062.2031	16.6916	25537.3779
76	70376.2954	79062.2031	0.0400	22139.3463
77	68994.6324	79062.2031	0.2057	23476.8632
78	69377.9107	79298.9477	0.0000	23986.0019
79	67871.0711	79298.9477	0.0535	25619.6662
80	69695.8534	79298.9477	0.0000	24790.6098
81	68524.4359	79298.9477	0.0000	23857.7741
82	66370.2115	79298.9477	0.0101	26117.4471
83	66476.5183	79538.2854	0.0156	27285.3176
84	66735.5848	79538.2854	0.0000	26341.3456
85	71290.4714	79538.2854	0.0004	22465.2974
86	71224.3662	79538.2854	0.0059	22549.0463
87	70123.0060	80298.5193	0.0590	24916.5351
88	73104.0797	80298.5193	0.0000	20767.9772
89	69135.3752	80298.5193	0.0145	25690.8149
90	70549.5875	80298.5193	0.0000	25152.3941
91	73329.1305	80298.5193	0.0024	21280.0761
92	74692.3357	80298.5193	0.3088	18857.7104
93	73872.9965	80298.5193	0.0533	20704.4374
94	73039.3418	80298.5193	0.2588	21592.4270
95	70835.1203	80298.5193	0.0000	24727.5914
96	72317.0691	80298.5193	0.1544	21806.0194
97	71292.8052	80333.3666	84.8701	23242.9267
98	70797.2296	82137.5408	0.0270	24570.1634
99	67848.6483	82878.9414	0.0239	26911.6537
