=== Cenário B ===
gen	avg	max	min	std
0	5787.8927	159321.8710	0.0000	18061.2482
1	11856.3742	206116.7290	0.0000	31490.4666
2	22668.0840	327295.1818	0.0000	51266.3991
3	36525.9363	334093.8215	0.0000	71113.5063
4	46342.4388	405388.4804	0.0000	85950.4005
5	93887.1875	405388.4804	0.0000	126252.4955
6	139044.9686	566573.7929	0.0000	147890.4908
7	239310.2446	1075783.9179	0.0000	194350.3926
8	344909.3293	1075783.9179	0.0000	208419.1146
9	437316.6018	1075783.9179	0.0000	227912.4323
10	538416.5565	1075783.9179	0.0000	263674.6629
11	499821.3214	1075783.9179	0.0000	333549.1932
12	574900.0914	1075783.9179	0.0000	359704.9952
13	637415.0765	1075783.9179	0.0000	408385.7530
14	711774.4952	1075783.9179	0.0000	439644.6028
15	918890.1428	1075783.9179	0.0000	343443.7527
16	917222.8113	1075783.9179	0.0000	376742.7636
17	879392.5312	1136135.4099	0.0000	408691.1451
18	909943.0553	1136135.4099	0.0000	383761.8065
19	958048.9057	1136135.4099	0.0000	332051.5761
20	888279.8517	1136135.4099	0.0000	416813.0470
21	930673.5469	1185846.4561	0.0000	387005.0222
22	973939.1422	1185846.4561	0.0000	370488.7047
23	995871.3761	1185846.4561	0.0000	361266.1268
24	985885.5206	1240776.1896	0.0000	385037.3628
25	976568.8077	1240776.1896	0.0000	418231.7975
26	964774.5171	1677094.1931	0.0000	452564.3376
27	1016185.7773	1677094.1931	0.0000	435848.6932
28	1102478.7071	4470830.5458	0.0000	569340.6436
29	1192449.0691	4470830.5458	0.0000	786368.4557
30	1510157.3489	4470830.5458	0.0000	1074471.8198
31	2077622.5095	4470830.5458	0.0000	1454638.1314
32	2764449.5644	4470830.5458	0.0000	1664267.2565
33	3571969.3030	4687402.7980	0.0000	1567235.4491
34	3632496.4589	4687402.7980	0.0000	1666057.0542
35	3836937.6243	4687402.7980	0.0000	1562615.0266
36	3943691.9979	4687402.7980	0.0000	1541466.1933
37	3652176.8793	4687402.7980	0.0000	1867365.9957
38	3966041.3353	4687402.7980	0.0000	1663743.6890
39	3745975.0921	4687402.7980	0.0000	1867064.1746
40	3823055.3958	4687402.7980	0.0000	1792537.6743
41	3938005.3005	4687402.7980	0.0000	1684656.6397
42	4266055.3015	4687402.7980	0.0000	1339805.2392
43	3897386.4938	4765501.3147	0.0000	1748352.5716
44	4081918.0444	4765501.3147	0.0000	1573887.3885
45	4228117.1795	4765501.3147	0.0000	1402903.2755
46	3724386.3758	4765501.3147	0.0000	1917440.9630
47	3666756.1724	5278832.2834	0.0000	1966280.2542
48	4259215.1912	5278832.2834	0.0000	1481334.3234
49	4237129.1870	5361857.7949	0.0000	1619115.5669
50	4484711.7952	5362230.6004	0.0000	1538404.6442
51	4834941.5246	5362230.6004	0.0000	1435029.7807
52	4386541.4372	5875111.7214	0.0000	2054989.4135
53	4378831.9597	5875111.7214	0.0000	2062771.7057
54	4909497.4818	5875111.7214	0.0000	1644453.1189
55	4728959.8150	5875111.7214	0.0000	2052551.8644
56	4924324.7273	5875111.7214	0.0000	2075658.1082
57	4867504.3446	5875111.7214	0.0000	2199806.2685
58	4810111.1535	6145961.8877	0.0000	2250620.6579
59	5111910.4754	6145961.8877	0.0000	1954572.3125
60	4859706.8841	6145961.8877	0.0000	2274998.6625
61	5152710.5919	6145961.8877	0.0000	2058411.5549
62	5728925.1719	6145961.8877	0.0000	1449451.1496
63	5197938.4139	6145961.8877	0.0000	2185109.3244
64	5357397.5361	6145961.8877	0.0000	2042131.6097
65	5165449.4711	6145961.8877	0.0000	2246765.0911
66	5163262.4011	6145961.8877	0.0000	2251649.3624
67	5654603.9183	6145961.8877	0.0000	1666276.6732
68	5471393.0418	6145961.8877	0.0000	1918793.1724
69	4862791.9687	6145961.8877	0.0000	2487175.8609
70	5289821.4707	6145961.8877	0.0000	2121975.8053
71	5237078.5706	6145961.8877	0.0000	2165077.9589
72	4928799.7858	7116992.9672	0.0000	2460506.0665
73	5300119.8803	7116992.9672	0.0000	2129444.1863
74	5078173.1524	7116992.9672	0.0000	2392375.6272
75	4961242.8323	7116992.9672	0.0000	2586139.7055
76	4406623.0933	7116992.9672	0.0000	2972850.2814
77	4601706.1645	7116992.9672	0.0000	2980356.0144
78	5462578.8323	7116992.9672	0.0000	2771877.4285
79	5666009.2213	7116992.9672	0.0000	2813038.7244
80	5831720.8634	7116992.9672	0.0000	2719708.2062
81	6174258.9565	7116992.9672	0.0000	2381857.7880
82	6303060.7782	7128804.7358	0.0000	2216976.9113
83	6051304.3249	7128804.7358	0.0000	2538511.8772
84	5673826.0855	7142596.8622	0.0000	2823463.5068
85	5246373.3431	7142596.8622	0.0000	3094619.5332
86	5985197.4386	7154516.1937	0.0000	2609756.6529
87	6650631.6852	7154516.1937	0.0000	1765584.7324
88	6145438.5629	7154516.1937	0.0000	2474664.7581
89	6224206.6494	7154516.1937	0.0000	2399439.7421
90	5851215.2596	7154516.1937	0.0000	2723223.4500
91	6340780.5962	7154516.1937	0.0000	2241243.1146
92	5831385.8988	7154516.1937	0.0000	2742022.4267
93	6084930.5243	7321874.8341	0.0000	2550896.4239
94	6204147.0715	7321874.8341	0.0000	2404497.0431
95	5958310.8130	7321874.8341	0.0000	2688203.2820
96	5987596.5986	7321874.8341	0.0000	2687367.1171
97	6245060.6099	7321874.8341	0.0000	2466088.4987
98	5785093.2976	7321874.8341	0.0000	2932562.2782
99	6249893.0377	7321874.8341	0.0000	2486621.4874
