=== Cenário B ===
gen	avg	max	min	std
0	337.4951	13209.5847	0.0000	1198.7190
1	809.9761	36651.0365	0.0000	2674.5527
2	1399.7255	36651.0365	0.0000	3265.5140
3	2415.4860	87624.6569	0.0000	5922.5420
4	3928.9802	87624.6569	0.0000	8256.7845
5	5550.5370	87624.6569	0.0000	10420.6427
6	7642.7501	87624.6569	0.0011	12505.0039
7	10656.6116	87624.6569	0.0000	15597.8503
8	14302.7860	165626.3765	0.0070	20933.6451
9	20639.7226	165626.3765	0.0032	26590.6431
10	32623.8425	309422.0388	0.2003	38326.9259
11	46622.9592	309422.0388	0.0051	44032.2181
12	60890.1020	309422.0388	0.0440	47749.8750
13	76285.5715	407169.3672	0.0249	64064.4471
14	80461.5215	445169.4417	0.0590	83679.1448
15	117105.5702	445169.4417	0.0196	119974.0406
16	190842.5119	445169.4417	0.0257	149681.0340
17	272359.5250	514217.9891	0.0829	163304.9530
18	346750.3780	547080.8574	1.2619	152827.4948
19	391049.2814	790326.2881	0.3163	145569.1480
20	398624.1624	790326.2881	0.2575	165413.9976
21	418869.1588	856898.7467	0.0100	188224.1729
22	478548.8593	856898.7467	0.0036	203927.8062
23	539143.8610	856898.7467	0.0014	269383.0400
24	660565.7402	856898.7467	0.7454	279286.3831
25	709806.6719	856898.7467	2.5327	293580.9400
26	719634.5529	856898.7467	0.2474	302677.3298
27	700672.3204	857221.8855	0.0021	321403.7531
28	738495.7572	857221.8855	0.4185	285570.2555
29	719803.5787	857221.8855	0.1983	303417.6003
30	725328.1658	857221.8855	0.0177	299036.7756
31	734941.5929	857221.8855	0.0525	290487.4128
32	710891.5551	857221.8855	0.0363	313711.6185
33	754011.7896	857221.8855	0.0015	269941.2563
34	721451.2985	859111.1747	0.0001	307593.1778
35	718859.6232	859111.1747	0.0030	307362.8164
36	739767.2173	860396.0517	0.0350	289863.9617
37	734990.3404	860396.0517	0.0260	292623.7700
38	732135.8015	860396.0517	0.0093	294782.1031
39	737563.9231	860396.0517	0.0211	287648.1489
40	706690.7931	860396.0517	0.0156	318024.2255
41	740218.9302	860396.0517	0.0194	290461.9706
42	718907.0309	860396.0517	0.0027	312283.3669
43	765654.5130	860396.0517	0.0002	261181.0171
44	706493.1154	1056730.0832	0.0078	321579.9766
45	753026.4185	1056730.0832	0.0302	275837.4486
46	739537.3677	1056730.0832	0.0170	300697.1450
47	730829.8670	1056730.0832	0.0116	320993.8111
48	777888.3791	1056730.0832	0.0281	322108.8889
49	847408.4971	1056730.0832	0.0059	335013.5306
50	916480.9511	1056730.0832	0.0006	330958.0156
51	856746.6499	1056730.0832	0.0371	402057.6854
52	891610.0464	1056730.0832	0.0542	376107.7177
53	903490.3468	1056730.0832	0.0130	359461.7257
54	935999.1008	1058654.1769	0.7911	322950.8252
55	901613.5401	1064252.3279	0.0001	364684.2366
56	893902.5291	1064252.3279	0.0559	370243.3905
57	915901.6566	1064252.3279	0.3486	349353.2901
58	917574.0763	1064252.3279	0.0220	349343.3259
59	940658.3721	1064252.3279	0.0016	322133.6567
60	891935.3841	1064252.3279	0.0006	380848.9898
61	912135.0094	1064252.3279	0.0734	364037.7645
62	921500.8869	1064252.3279	0.0980	353424.6909
63	916904.2093	1128678.2986	0.0676	360831.5289
64	947443.8826	1128678.2986	0.0002	323144.7193
65	904630.5742	1128678.2986	0.9627	373822.9139
66	936751.5768	1128678.2986	0.0992	349918.6380
67	947910.9744	1128678.2986	1.0563	361665.0022
68	959251.4033	1169554.2609	0.2061	376404.7525
69	983648.6055	1169554.2609	0.0182	365211.1742
70	951532.8587	1169554.2609	0.0649	401684.1957
71	975502.8800	1169554.2609	0.0079	378778.0188
72	993037.8679	1169554.2609	0.0164	365645.0940
73	960114.2481	1169554.2609	0.0029	416408.7738
74	993125.6139	1173162.7025	0.1239	404200.1273
75	1008761.0865	1173162.7025	0.0036	395356.2979
76	978997.7688	1173162.7025	0.8612	423800.0960
77	985864.7245	1173162.7025	0.0011	415567.2384
78	994297.8898	1173162.7025	0.0232	414538.9663
79	945552.6141	1173162.7025	0.0015	452129.5773
80	980906.8734	1173162.7025	0.1529	427260.8127
81	983279.8304	1173162.7025	0.0171	421558.6729
82	1000697.1101	1392007.3839	0.0004	405266.7160
83	994754.0130	1392007.3839	0.1313	418501.7950
84	998744.7157	1392007.3839	0.0061	415879.2330
85	1009529.8983	1392007.3839	0.0172	414300.4524
86	997771.1464	1392007.3839	0.2006	454940.3731
87	1070307.1682	1392007.3839	0.0234	444482.4827
88	1108069.1010	1392007.3839	0.0000	480524.2836
89	1158686.6286	1392007.3839	0.0485	490109.1389
90	1198269.7074	1631509.9361	0.0590	474416.3437
91	1185125.6222	1631509.9361	0.0727	487670.3977
92	1188907.2159	1631509.9361	0.0832	494070.4647
93	1178710.1447	1631509.9361	0.0648	530650.0018
94	1264662.6110	1631509.9361	0.0021	538518.2493
95	1339266.4451	1631509.9361	0.2752	554839.7447
96	1327019.4713	1631509.9361	0.0224	614613.3495
97	1428017.0154	1631509.9361	0.0017	519601.5969
98	1370656.7619	1631509.9361	0.1104	583404.4268
99	1418693.0919	1631509.9361	0.0012	537863.4075
100	1384599.4037	1675572.2075	0.0868	574270.1672
101	1367078.9624	1675572.2075	0.0002	588577.2845
102	1408658.0312	1675572.2075	0.0556	551022.8826
103	1451647.7795	1675572.2075	0.1547	507311.5326
104	1422100.3487	1675572.2075	0.0128	554061.5789
105	1429447.5987	1675572.2075	0.1506	572661.7108
106	1425259.7099	1687814.5098	0.0022	585669.2415
107	1449018.9563	1687814.5098	0.0957	560923.9389
108	1452141.4832	1693187.5814	0.0250	559972.0066
109	1434782.7631	1693187.5814	0.0343	576323.0674
110	1460688.5389	1718538.2069	0.0023	555945.9954
111	1390498.4940	1718538.2069	0.0203	631556.6500
112	1431727.3739	1718538.2069	0.0043	595716.7262
113	1454654.4692	1718538.2069	0.0051	578917.9720
114	1402338.5413	1718538.2069	0.0010	630475.9517
115	1482840.3016	1718538.2069	2.0418	560603.0510
116	1434460.1955	1718538.2069	0.0473	615753.9694
117	1466199.1767	1718538.2069	0.0022	596411.4198
118	1469458.9138	1722651.1345	0.0080	598445.7230
119	1454556.9394	1722651.1345	0.1487	608060.1161
120	1467530.9925	1722651.1345	0.0062	593687.1149
121	1482154.6931	1722651.1345	0.0121	578457.5580
122	1458278.8633	1729246.7105	0.0049	601620.7926
123	1450971.4115	1729246.7105	0.2887	604348.6137
124	1507233.7829	1729246.7105	0.1186	556737.4696
125	1494031.9809	1729246.7105	0.0117	569027.5044
126	1460230.9985	1729246.7105	0.0001	603397.2503
127	1501356.9739	1729246.7105	0.0007	562737.4511
128	1485893.7368	1877004.8222	0.0009	579898.9672
129	1452776.4997	2082353.3339	0.5666	620413.0846
130	1498591.6454	2082353.3339	0.0052	573766.5839
131	1496596.1717	2082353.3339	0.0058	605175.5036
132	1567347.3077	2082353.3339	0.0877	604136.9628
133	1579691.0557	2082353.3339	0.0385	694632.9886
134	1718704.6081	2082353.3339	0.0136	672031.7208
135	1799868.5742	2082353.3339	0.0000	673118.6480
136	1708609.4952	2082353.3339	0.0212	788421.8652
137	1768359.7509	2082353.3339	0.0913	734997.0112
138	1762932.8287	2082353.3339	0.0001	740704.3269
139	1760994.9643	2082353.3339	0.0430	741138.1041
140	1781036.8059	2082353.3339	0.0003	723912.8992
141	1802167.5938	2083982.7681	0.0029	701630.7429
142	1760206.3297	2083982.7681	0.0011	745108.2012
143	1763964.8078	2083982.7681	0.1954	727986.4621
144	1784488.1764	2083982.7681	0.0314	713218.9834
145	1823194.3551	2083982.7681	0.0071	679412.7410
146	1802362.0580	2083982.7681	0.0061	705813.4179
147	1750201.9492	2083982.7681	0.7507	753137.0559
148	1783265.1096	2083982.7681	1.7820	714975.4387
149	1829938.6243	2083982.7681	0.0073	667783.4558
150	1793294.6959	2083982.7681	0.0281	713233.3497
151	1782044.7060	2083982.7681	0.1227	722760.0339
152	1759685.3161	2083982.7681	0.0316	747390.6015
153	1788778.2284	2083982.7681	0.0063	715105.3511
154	1818781.2853	2083982.7681	0.0194	680645.4928
155	1756710.3704	2094931.8472	0.0339	749309.2552
156	1772528.3781	2094931.8472	0.0137	734343.9834
157	1820820.6321	2094931.8472	3.1259	676811.2516
158	1782861.2645	2094931.8472	0.0183	713544.7207
159	1789155.3653	2094931.8472	0.0004	719568.8913
160	1869801.2555	2094931.8472	0.1005	631070.9610
161	1787292.4336	2094931.8472	0.1642	727850.6362
162	1811382.2645	2094931.8472	0.0980	703800.2494
163	1752739.6096	2094931.8472	0.0014	763179.8952
164	1797380.4984	2094931.8472	0.0284	716022.3807
165	1726539.3612	2094931.8472	0.0001	789125.8582
166	1693644.5865	2094931.8472	0.0119	814010.1105
167	1796154.3965	2094931.8472	0.0083	726569.1515
168	1778308.7530	2094931.8472	0.0286	739520.1332
169	1718541.5554	2094931.8472	0.0011	788456.8697
170	1761274.7217	2094931.8472	0.0003	754238.0248
171	1768835.2037	2094931.8472	0.0226	748945.1673
172	1832975.3910	2094931.8472	0.0001	679080.1715
173	1849702.3940	2094931.8472	0.0138	666897.2416
174	1777141.3585	2094931.8472	0.0293	742981.6023
